Name,z,alpha,e_alpha,P500,rmaj,e_rmaj
001115.23+144601.8,4.964,0.43,0.08,28.52,5.60,0.82
003843.98+031120.9,3.674,0.73,0.03,29.01,3.12,0.01
011540.51+035643.3,4.189,0.58,0.04,29.11,3.29,0.01
011747.86+011407.6,3.694,0.77,0.03,28.44,3.16,0.04
021655.64+051018.3,3.817,0.45,0.05,28.21,3.10,0.02
030437.21+004653.5,4.266,0.37,0.04,28.08,3.46,0.03
034402.85-065300.6,3.942,0.77,0.11,28.24,E,
075910.06+283310.8,3.590,0.80,0.06,28.67,2.77,0.01
080710.74+131739.4,3.716,0.06,0.09,27.82,2.68,0.01
082323.32+155206.8,3.793,0.68,0.02,28.80,3.51,0.02
083322.49+095941.2,3.713,0.32,0.04,28.63,2.81,0.01
083549.42+182520.0,4.412,0.32,0.06,28.28,2.43,0.01
085023.56+153003.9,3.713,0.76,0.05,28.62,E,
085257.12+243103.1,3.612,0.46,0.06,28.73,2.56,0.01
093113.34+233203.1,3.542,0.85,0.05,28.60,4.19,0.06
094004.80+052630.9,4.503,0.72,0.04,28.97,2.58,0.01
094948.33+235822.1,3.626,0.28,0.09,28.24,3.51,0.03
102107.57+220921.4,4.262,0.40,0.04,29.01,3.17,0.01
105407.13-012342.3,3.984,0.87,0.03,28.94,3.08,0.02
110147.88+001039.4,3.693,0.68,0.03,29.28,3.39,0.01
115339.37+074716.1,6.206,0.34,0.06,28.97,2.61,0.01
130906.78+034607.5,5.815,0.79,0.03,29.60,3.58,0.01
133605.56+070718.8,3.642,0.59,0.06,28.56,3.13,0.03
142048.01+120545.9,4.026,0.60,0.03,28.92,3.11,0.02
144516.46+095836.0,3.541,-0.23,0.07,28.82,4.24,0.01
145805.22+172524.5,3.657,0.76,0.02,29.14,E,
153533.88+025423.3,4.388,0.44,0.07,28.66,2.66,0.01
155930.97+030448.1,3.895,-0.12,0.04,28.62,2.71,0.01
222951.52-012934.4,3.504,0.51,0.06,28.59,2.94,0.01